CHARACTER Devil
SOUND_SHOUT assets/music/monster.wav
HEIGHT 108
WIDTH 60
HEALTH 20
RANGE 0
IDLE assets/images/characters/devil/idle/1.png
RUNNING assets/images/characters/devil/running/1.png
RUNNING assets/images/characters/devil/running/1.png
RUNNING assets/images/characters/devil/running/2.png
RUNNING assets/images/characters/devil/running/2.png
RUNNING assets/images/characters/devil/running/3.png
RUNNING assets/images/characters/devil/running/3.png
DYING assets/images/characters/devil/dying/1.png
DYING assets/images/characters/devil/dying/1.png
DYING assets/images/characters/devil/dying/1.png
DYING assets/images/characters/devil/dying/2.png
DYING assets/images/characters/devil/dying/2.png
DYING assets/images/characters/devil/dying/2.png
DYING assets/images/characters/devil/dying/3.png
DYING assets/images/characters/devil/dying/3.png
DYING assets/images/characters/devil/dying/3.png
DYING assets/images/characters/devil/dying/4.png
DYING assets/images/characters/devil/dying/4.png
DYING assets/images/characters/devil/dying/4.png
DYING assets/images/characters/devil/dying/5.png
DYING assets/images/characters/devil/dying/5.png
DYING assets/images/characters/devil/dying/5.png
DYING assets/images/characters/devil/dying/6.png
DYING assets/images/characters/devil/dying/6.png
DYING assets/images/characters/devil/dying/6.png
DYING assets/images/characters/devil/dying/7.png
DYING assets/images/characters/devil/dying/7.png
DYING assets/images/characters/devil/dying/7.png
DYING assets/images/characters/devil/dying/8.png
DYING assets/images/characters/devil/dying/8.png
DYING assets/images/characters/devil/dying/8.png
DYING assets/images/characters/devil/dying/9.png
DYING assets/images/characters/devil/dying/9.png
DYING assets/images/characters/devil/dying/9.png
DYING assets/images/characters/devil/dying/10.png
DYING assets/images/characters/devil/dying/10.png
DYING assets/images/characters/devil/dying/10.png
DYING assets/images/characters/devil/dying/11.png
DYING assets/images/characters/devil/dying/11.png
DYING assets/images/characters/devil/dying/11.png
DYING assets/images/characters/devil/dying/12.png
DYING assets/images/characters/devil/dying/12.png
DYING assets/images/characters/devil/dying/12.png
DYING assets/images/characters/devil/dying/13.png
ATTACK assets/images/characters/devil/idle/1.png
FALLING assets/images/characters/devil/idle/1.png
JUMPING assets/images/characters/devil/idle/1.png
